Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Burnout_Score,Stagnation_Score,Disengagement_Score,Compensation_Gap
1,1,2,1,1,0.5055446394403083,0.4690232345327208,0.6251162574106005,1,0,1,0,1,2,0,0,1,1,1,2,0,2,2,2,1,2,2,0,0,2,1,1,0,1,7,2,6,3
0,3,1,5,2,0.2813321005719086,0.39240510429015546,0.34641529915159075,3,0,0,0,1,2,0,0,0,0,3,2,1,2,2,2,2,2,2,0,0,2,2,1,1,0,5,4,5,3
0,2,3,2,1,0.25688073438776293,0.39240510429015546,0.3485496690247472,2,0,1,0,0,1,1,1,3,1,2,3,1,3,3,2,3,0,0,1,1,3,3,0,1,0,0,1,2,1
1,1,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,0,1,0,0,1,0,0,0,1,1,1,0,2,2,3,2,2,2,0,0,2,2,0,1,0,6,3,6,2
0,3,2,5,5,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,2,1,1,0,2,1,1,1,1,1,2,1,3,2,1,2,1,1,1,0,3,2,1,1,0,3,5,2,0
1,2,2,2,2,0.25688073438776293,0.39240510429015546,0.34641529915159075,1,1,0,0,1,3,1,1,1,1,1,3,1,3,3,2,3,1,0,1,0,2,2,0,0,1,1,2,4,2
0,1,2,2,1,0.7342055546273047,0.5727612338639113,0.47073868350099,3,1,1,0,0,1,0,1,1,1,1,2,1,2,2,1,2,0,1,0,1,3,2,0,1,0,2,1,3,2
0,2,1,2,2,0.5041293001243747,0.5277634595901657,0.433182665870381,2,2,1,1,1,3,0,0,2,0,2,3,0,1,1,1,2,0,2,0,0,3,2,0,1,0,4,4,4,2
1,2,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,1,1,1,3,1,1,3,1,2,3,1,3,2,2,2,1,1,1,1,3,2,1,1,0,3,2,3,1
1,2,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,1,1,0,2,1,1,3,1,2,2,0,2,2,2,2,0,0,1,1,2,1,1,1,0,2,2,6,0
0,1,1,2,2,0.2813321005719086,0.39240510429015546,0.3485496690247472,2,3,1,1,1,3,1,1,3,1,3,3,1,3,3,1,3,1,0,1,0,2,3,0,0,1,1,2,2,1
1,2,2,3,1,0.4979663383385758,0.39240510429015546,0.3485496690247472,2,2,0,0,1,2,0,0,1,0,1,1,0,1,1,1,1,2,2,0,0,1,1,1,0,1,7,3,7,3
1,4,4,6,2,0.35537190084412335,0.25600486756973356,0.2774942828349492,2,0,1,0,1,3,0,0,1,1,1,2,1,3,3,1,3,1,1,0,0,2,2,1,1,0,2,3,3,3
1,2,1,2,2,0.5041293001243747,0.39240510429015546,0.5062032724614461,2,1,1,0,0,1,0,0,0,0,1,1,0,1,2,1,1,1,1,0,0,1,1,1,1,0,5,4,7,2
1,1,3,2,1,0.47302101916722367,0.58079526080885,0.6209859275516705,2,1,1,1,0,1,1,1,1,1,1,2,1,3,1,2,2,0,0,1,0,2,2,1,1,0,1,1,4,0
1,2,1,1,1,0.5055446394403083,0.5277634595901657,0.5195136717366,1,0,1,0,1,3,0,0,0,0,1,1,1,2,2,1,1,1,2,0,0,1,2,0,1,0,5,3,5,3
0,2,2,1,1,0.5041293001243747,0.40194424112053295,0.40194424112053295,2,2,1,0,0,1,0,0,1,0,1,1,0,1,1,2,1,2,2,0,0,1,1,0,0,1,7,3,8,2
0,2,2,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,2,1,1,0,2,1,0,2,1,1,3,1,3,3,1,3,0,0,1,0,3,3,0,1,0,0,3,1,0
0,1,2,1,1,0.2813321005719086,0.5277634595901657,0.5195136717366,2,0,0,0,0,1,0,0,0,0,2,2,0,2,2,2,2,0,2,0,0,2,2,0,1,0,4,3,5,2
0,2,2,3,3,0.5041293001243747,0.6028848047056141,0.4911856615764921,2,2,1,0,0,1,0,0,1,1,2,2,1,3,2,1,2,1,1,1,0,3,2,0,1,0,3,4,2,2
1,1,1,2,1,0.5236582634987461,0.5277634595901657,0.433182665870381,1,2,1,1,1,3,1,1,1,1,1,2,0,2,2,1,2,1,0,1,1,2,2,1,0,1,3,1,4,1
1,2,3,2,2,0.25688073438776293,0.39240510429015546,0.34641529915159075,3,3,1,1,0,1,1,1,3,1,1,3,1,2,2,2,2,0,0,0,0,2,2,1,1,0,1,2,5,0
1,2,2,1,1,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,3,1,2,0,0,1,1,0,1,0,4,3,7,2
0,1,2,1,1,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1,1,0,0,2,1,0,0,1,4,3,7,2
0,2,2,4,4,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,0,0,0,2,1,0,0,0,1,1,0,1,3,1,3,1,1,0,0,1,1,0,1,0,3,6,7,1
1,2,3,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,0,0,0,1,1,0,1,1,1,1,1,2,2,2,2,1,1,1,0,2,2,0,1,0,3,3,5,1
0,1,2,1,1,0.47302101916722367,0.39240510429015546,0.3485496690247472,2,2,1,1,1,1,0,1,1,1,1,2,1,3,2,2,2,1,1,1,0,3,2,1,0,1,3,1,3,2
1,2,2,1,1,0.47302101916722367,0.4690232345327208,0.6251162574106005,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3,1,1,1,0,0,3,1,0,1,0,4,3,6,2
0,1,2,1,1,0.35537190084412335,0.4690232345327208,0.26520173234237654,1,1,0,0,0,1,0,0,0,0,1,2,0,1,3,1,3,1,1,0,0,2,2,0,0,0,3,3,5,2
1,1,2,1,1,0.4423093152874278,0.5727612338639113,0.3485496690247472,1,2,1,0,1,3,1,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,0,0,1,3,2,5,2
1,2,2,2,1,0.25688073438776293,0.2312931317475115,0.5178983703117349,1,0,0,0,0,1,0,0,0,0,1,1,0,1,3,2,2,0,0,0,1,2,2,1,1,0,2,3,6,2
1,3,2,2,1,0.35537190084412335,0.39240510429015546,0.5062032724614461,1,0,1,0,0,1,0,0,0,0,1,1,0,1,2,3,3,0,0,0,0,2,1,0,0,0,1,3,8,2
0,1,2,1,1,0.35537190084412335,0.25600486756973356,0.3629994804424569,3,3,1,1,1,3,1,0,3,1,3,3,1,3,2,1,3,0,0,1,0,3,2,1,1,0,0,2,2,1
0,1,2,2,2,0.25688073438776293,0.39240510429015546,0.34641529915159075,2,0,1,0,0,1,1,1,3,1,1,2,1,3,3,1,3,1,1,1,0,3,3,0,1,0,2,2,1,1
0,1,1,1,1,0.2813321005719086,0.5727612338639113,0.3713837828371839,1,0,0,0,1,3,0,0,1,1,1,3,1,3,2,2,3,1,1,0,0,2,2,0,0,1,2,2,4,3
0,2,2,4,4,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,1,0,0,0,1,0,0,2,1,1,1,0,1,1,2,1,2,2,0,0,1,1,0,1,0,7,5,8,2
0,2,3,2,2,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,2,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,0,1,1,0,2,3,0,1,0,2,2,3,1
0,1,1,2,2,0.5055446394403083,0.5727612338639113,0.5569570005567268,1,2,1,0,1,3,0,0,2,1,1,1,1,1,2,1,1,2,2,0,0,3,1,1,0,1,6,3,5,3
1,2,2,1,1,0.25688073438776293,0.2312931317475115,0.18182161337813926,2,0,0,0,0,1,1,1,0,0,1,2,0,2,2,1,2,0,1,1,0,2,2,0,0,1,3,2,4,1
0,1,1,1,1,0.35537190084412335,0.4690232345327208,0.26520173234237654,1,0,1,0,0,1,1,1,0,1,1,2,1,2,2,2,2,0,0,1,0,3,2,0,0,1,1,1,4,1
