Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Salary_per_Experience,Opportunity_Training_Score,Experience_Gap_LastOrg
1,1,3,2,1,0.4802273850716758,0.5693277310924371,0.7533796127146511,2,1,1,1,0,1,1,1,1,1,1,2,1,3,1,2,2,0,0,1,0,2,2,1,1,0,0.6666666666666666,1,1
1,2,1,1,1,0.49825991002461595,0.5197265346816693,0.5201885632301702,1,0,1,0,1,3,0,0,0,0,1,1,1,2,2,1,1,1,2,0,0,1,2,0,1,0,0.5,0,0
0,2,2,1,1,0.4986849701712746,0.378533231474408,0.378533231474408,2,2,1,0,0,1,0,0,1,0,1,1,0,1,1,2,1,2,2,0,0,1,1,0,0,1,1.0,0,0
0,2,2,2,2,0.2645953118089341,0.24412567574800623,0.1994910640312463,1,2,1,1,0,2,1,0,2,1,1,3,1,3,3,1,3,0,0,1,0,3,3,0,1,0,0.3333333333333333,0,0
0,1,2,1,1,0.30045460807273733,0.5197265346816693,0.5201885632301702,2,0,0,0,0,1,0,0,0,0,2,2,0,2,2,2,2,0,2,0,0,2,2,0,1,0,1.0,0,0
0,2,2,3,3,0.4986849701712746,0.5818259507192708,0.5435647943387881,2,2,1,0,0,1,0,0,1,1,2,2,1,3,2,1,2,1,1,1,0,3,2,0,1,0,0.5,0,0
1,1,1,2,1,0.6075135936727633,0.5197265346816693,0.43319327731092444,1,2,1,1,1,3,1,1,1,1,1,2,0,2,2,1,2,1,0,1,1,2,2,1,0,1,0.3333333333333333,1,1
1,2,3,2,2,0.2645953118089341,0.3948079231692677,0.3559969442322384,3,3,1,1,0,1,1,1,3,1,1,3,1,2,2,2,2,0,0,0,0,2,2,1,1,0,1.0,3,0
1,2,2,1,1,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,3,1,2,0,0,1,1,0,1,0,1.0,0,0
0,1,2,1,1,0.2645953118089341,0.24412567574800623,0.1994910640312463,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1,1,0,0,2,1,0,0,1,0.5,0,0
0,2,2,4,4,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,0,0,0,0,2,1,0,0,0,1,1,0,1,3,1,3,1,1,0,0,1,1,0,1,0,0.4,0,0
1,2,3,2,2,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,0,0,0,0,1,1,0,1,1,1,1,1,2,2,2,2,1,1,1,0,2,2,0,1,0,0.6666666666666666,0,0
0,1,2,1,1,0.4802273850716758,0.3948079231692677,0.35792094615624026,2,2,1,1,1,1,0,1,1,1,1,2,1,3,2,2,2,1,1,1,0,3,2,1,0,1,1.0,1,0
1,2,2,1,1,0.4802273850716758,0.4660791145726583,0.6016588453563244,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3,1,1,1,0,0,3,1,0,1,0,0.5,0,0
0,1,2,1,1,0.3584433773509404,0.4660791145726583,0.2838468720821662,1,1,0,0,0,1,0,0,0,0,1,2,0,1,3,1,3,1,1,0,0,2,2,0,0,0,0.5,0,0
1,1,2,1,1,0.4439775910364146,0.5567968363816115,0.35792094615624026,1,2,1,0,1,3,1,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,0,0,1,0.5,0,0
1,2,2,2,1,0.2645953118089341,0.24412567574800623,0.5870348139255702,1,0,0,0,0,1,0,0,0,0,1,1,0,1,3,2,2,0,0,0,1,2,2,1,1,0,0.3333333333333333,0,1
1,3,2,2,1,0.3584433773509404,0.3948079231692677,0.5737628384687209,1,0,1,0,0,1,0,0,0,0,1,1,0,1,2,3,3,0,0,0,0,2,1,0,0,0,0.3333333333333333,0,1
0,1,2,1,1,0.3584433773509404,0.2690943043884221,0.33313325330132054,3,3,1,1,1,3,1,0,3,1,3,3,1,3,2,1,3,0,0,1,0,3,2,1,1,0,1.5,3,0
0,1,2,2,2,0.2645953118089341,0.3948079231692677,0.3559969442322384,2,0,1,0,0,1,1,1,3,1,1,2,1,3,3,1,3,1,1,1,0,3,3,0,1,0,0.6666666666666666,0,0
0,1,1,1,1,0.30045460807273733,0.5567968363816115,0.3606442577030813,1,0,0,0,1,3,0,0,1,1,1,3,1,3,2,2,3,1,1,0,0,2,2,0,0,1,0.5,0,0
0,2,2,4,4,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,1,0,0,0,1,0,0,2,1,1,1,0,1,1,2,1,2,2,0,0,1,1,0,1,0,0.4,0,0
0,2,3,2,2,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,2,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,0,1,1,0,2,3,0,1,0,0.6666666666666666,0,0
0,1,1,2,2,0.49825991002461595,0.5567968363816115,0.6512605042016807,1,2,1,0,1,3,0,0,2,1,1,1,1,1,2,1,1,2,2,0,0,3,1,1,0,1,0.3333333333333333,2,0
1,2,2,1,1,0.2645953118089341,0.24412567574800623,0.1994910640312463,2,0,0,0,0,1,1,1,0,0,1,2,0,2,2,1,2,0,1,1,0,2,2,0,0,1,1.0,0,0
0,1,1,1,1,0.3584433773509404,0.4660791145726583,0.2838468720821662,1,0,1,0,0,1,1,1,0,1,1,2,1,2,2,2,2,0,0,1,0,3,2,0,0,1,0.5,0,0
1,2,3,2,2,0.2645953118089341,0.3948079231692677,0.35792094615624026,2,3,1,1,1,3,1,1,2,1,1,3,1,3,2,2,2,1,1,1,0,2,2,0,1,0,0.6666666666666666,0,0
0,3,2,3,2,0.3584433773509404,0.2690943043884221,0.33313325330132054,1,1,1,1,1,3,1,0,1,1,3,3,1,2,2,2,2,0,0,1,0,2,2,1,1,0,0.25,1,1
1,2,2,1,1,0.2645953118089341,0.24412567574800623,0.1994910640312463,1,0,0,0,1,2,0,0,1,1,1,1,1,2,2,3,2,2,2,0,0,2,2,1,1,0,0.5,1,0
1,2,2,1,1,0.3584433773509404,0.2690943043884221,0.24042950513538752,2,2,0,1,0,1,1,1,0,0,1,3,1,3,3,1,2,1,0,1,0,3,3,1,1,0,1.0,0,0
0,1,2,2,2,0.49825991002461595,0.3948079231692677,0.4494821184287669,3,2,1,1,1,3,1,1,3,1,2,3,1,3,2,1,2,0,0,1,0,3,3,0,0,1,1.0,0,0
0,2,3,2,2,0.49825991002461595,0.3948079231692677,0.3559969442322384,2,2,1,0,1,3,0,0,1,1,2,2,0,2,2,2,2,2,2,0,0,2,1,1,1,0,0.6666666666666666,1,0
0,3,1,4,4,0.3584433773509404,0.3948079231692677,0.3559969442322384,3,3,0,1,0,1,1,1,1,1,1,3,1,3,2,2,2,0,0,1,0,3,3,1,1,0,0.6,1,0
