Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single
1,2,2,3,1,13,1,30,2,2,0,0,1,2,0,0,1,0,1,1,0,1,1,1,1,2,2,0,0,1,1,1,0,1
1,4,4,6,2,3,19,15,2,0,1,0,1,3,0,0,1,1,1,2,1,3,3,1,3,1,1,0,0,2,2,1,1,0
1,2,1,2,2,11,1,54,2,1,1,0,0,1,0,0,0,0,1,1,0,1,2,1,1,1,1,0,0,1,1,1,1,0
1,1,3,2,1,5,14,23,2,1,1,1,0,1,1,1,1,1,1,2,1,3,1,2,2,0,0,1,0,2,2,1,1,0
1,2,1,1,1,12,6,51,1,0,1,0,1,3,0,0,0,0,1,1,1,2,2,1,1,1,2,0,0,1,2,0,1,0
0,2,2,1,1,11,12,5,2,2,1,0,0,1,0,0,1,0,1,1,0,1,1,2,1,2,2,0,0,1,1,0,0,1
0,2,2,2,2,7,8,58,1,2,1,1,0,2,1,0,2,1,1,3,1,3,3,1,3,0,0,1,0,3,3,0,1,0
0,1,2,1,1,6,6,51,2,0,0,0,0,1,0,0,0,0,2,2,0,2,2,2,2,0,2,0,0,2,2,0,1,0
0,2,2,3,3,11,0,1,2,2,1,0,0,1,0,0,1,1,2,2,1,3,2,1,2,1,1,1,0,3,2,0,1,0
1,1,1,2,1,2,6,52,1,2,1,1,1,3,1,1,1,1,1,2,0,2,2,1,2,1,0,1,1,2,2,1,0,1
